FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JoinFieldP,Id,Id2,Geography,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Shape_Ar_2,Median_Inc,Population,Total_HHs,Total_Fami,Fam_Avg_Si,Fam_Marrie,Fam_Single,Fam_Sing_1,Total_NonF,NonFam_Avg,Fam_Sing_2,Fam_Sing_3,POV_Famili,POV_HH,POV_Marrie,POV_Single,POV_Sing_1,POV_Sing_2,POV_Sing_3,Pov_Sing_4,POV_Fami_1,POV_Fami_2,POV_HH_Abo,Emp_Popula,Emp_Labor_,Emp_Not_La,Emp_Employ,Emp_Unempl,Emp_Unem_1,Ed_Populat,Ed_Pop_Mal,Ed_Male_Co,Ed_Pop_Fem,Ed_Female_,Ed_Total_C,Ed_Total_1,Ed_At_Leas,Ed_HS_or_H,Exp_Single,Exp_Sing_1,Exp_Sing_2,Exp_Sing_3,Shape__Area,Shape__Length,education_total_pct
99,99,48,479,000109,2,484790001092,Block Group 2,G5030,S,1431996,124417,+27.4712423,-099.4794086,LDO484790001092,1500000US484790001092,484790001092,"Block Group 2, Census Tract 1.09, Webb County, Texas",21242.6983309,16750630.656,20935.8487695,16020118.7652,21242.6983309,16750630.656,17841,1000,241,212,3.87,134,0,78,29,1.17,17,12,119,148,75,0,44,17,12,44,100,93,93,690,278,412,242,36,12.9496402878,590,258,Est_M_College_1_or_more_No_Degree,332,Est_F_HS_GED,Total_HS_GED,109,YES,277,39.63367,41.98061,81.61428,18.38572,1984814.73046875,7312.94232523432,46.95
100,100,48,479,001806,1,484790018061,Block Group 1,G5030,S,1700445,141201,+27.4568542,-099.4849292,LDO484790018061,1500000US484790018061,484790018061,"Block Group 1, Census Tract 18.06, Webb County, Texas",20284.9284413,19820299.0597,19656.6231693,18983810.3875,20284.9284413,19820299.0597,18087,1878,429,369,4.25,138,36,195,60,1.0,0,60,197,224,31,0,166,0,27,166,197,172,205,922,544,378,488,56,10.2941176471,616,248,Est_M_5th_and_6th,368,Est_F_HS_GED,Total_5th_and_6th,180,YES,304,41.87138,41.82397,83.69535,16.30465,2347944.0625,6982.387038885599,49.35
101,101,48,479,000105,2,484790001052,Block Group 2,G5030,S,1149416,58566,+27.4863763,-099.4752025,LDO484790001052,1500000US484790001052,484790001052,"Block Group 2, Census Tract 1.05, Webb County, Texas",16769.6415414,13000745.0636,16720.980297,12452038.7673,16769.6415414,13000745.0636,38000,1608,304,304,4.84,195,10,99,0,0.0,0,0,124,124,54,5,65,0,0,57,116,180,180,1091,588,503,544,44,7.48299319728,670,328,Est_M_HS_GED,342,Est_F_HS_GED,Total_HS_GED,262,YES,445,59.09023,45.37717,104.4674,-4.4674,1540903.76171875,5780.551692325319,66.42
102,102,48,479,001201,3,484790012013,Block Group 3,G5030,S,154649,0,+27.5236751,-099.4952772,LDO484790012013,1500000US484790012013,484790012013,"Block Group 3, Census Tract 12.01, Webb County, Texas",5293.30762682,1664402.39315,5293.30795575,1664402.35217,5293.30762682,1664402.39315,10592,593,302,115,3.3,66,38,11,187,1.02,58,129,85,239,51,34,0,53,101,0,50,30,63,501,154,347,135,19,12.3376623377,467,209,Est_M_HS_GED,258,Est_F_5th_and_6th,Total_HS_GED,130,YES,224,45.47037,30.67261,76.14298,23.85702,197400.921875,1821.704622131984,47.97
103,103,48,479,000903,1,484790009031,Block Group 1,G5030,S,267989,0,+27.5243662,-099.4899448,LDO484790009031,1500000US484790009031,484790009031,"Block Group 1, Census Tract 9.03, Webb County, Texas",7345.35429577,2884242.6305,7345.35398018,2884242.61916,7345.35429577,2884242.6305,12125,1461,309,249,4.67,106,12,131,60,1.0,18,42,132,192,72,12,48,18,42,43,117,117,117,792,305,487,260,45,14.7540983607,525,197,Est_M_HS_GED,328,Est_F_HS_GED,Total_HS_GED,133,YES,227,41.97172,31.44703,73.41875,26.58125,342080.1953125,2529.0507189171276,43.24
104,104,48,479,000106,1,484790001061,Block Group 1,G5030,S,351887,0,+27.4835921,-099.4696934,LDO484790001061,1500000US484790001061,484790001061,"Block Group 1, Census Tract 1.06, Webb County, Texas",8728.49747456,3787129.17965,8728.49882315,3787129.00915,8728.49747456,3787129.17965,20964,1781,456,375,4.03,264,28,83,81,1.21,28,53,209,216,133,0,76,0,7,76,182,166,240,1223,573,650,569,4,0.698080279232,849,369,Est_M_HS_GED,480,Est_F_HS_GED,Total_HS_GED,232,YES,456,58.63417,39.35397,97.98814,2.01186,448841.72265625,3005.2867784459413,53.71
105,105,48,479,000106,2,484790001062,Block Group 2,G5030,S,297887,0,+27.4883682,-099.4667373,LDO484790001062,1500000US484790001062,484790001062,"Block Group 2, Census Tract 1.06, Webb County, Texas",8250.13869004,3205960.16929,8250.13893769,3205960.14938,8250.13869004,3205960.16929,34821,714,151,123,4.89,95,8,20,28,1.0,0,28,19,47,13,0,6,0,28,6,19,104,104,546,205,341,205,0,0.0,460,230,Est_M_HS_GED,230,Est_F_5th_and_6th,Total_HS_GED,87,YES,159,39.83798,39.32241,79.16039,20.83961,379995.0078125,2837.1021306977627,34.57
106,106,48,479,001720,1,484790017201,Block Group 1,G5030,S,895786,0,+27.5753622,-099.4845697,LDO484790017201,1500000US484790017201,484790017201,"Block Group 1, Census Tract 17.20, Webb County, Texas",18455.3058842,9641082.15238,18455.3075796,9641082.13487,18455.3058842,9641082.15238,61534,2367,683,536,3.71,421,12,103,147,1.78,46,101,61,81,18,0,43,9,11,43,61,475,602,1701,1209,492,1141,68,5.62448304384,1254,575,Est_M_College_1_or_more_No_Degree,679,Est_F_HS_GED,Total_HS_GED,328,YES,1007,58.63748,44.70007,103.33755,-3.33755,1144494.328125,6357.9112165701,80.3
107,107,48,479,001720,2,484790017202,Block Group 2,G5030,S,1750320,0,+27.5738941,-099.4947717,LDO484790017202,1500000US484790017202,484790017202,"Block Group 2, Census Tract 17.20, Webb County, Texas",19586.3322744,18838106.1909,19586.3330902,18838106.0642,19586.3322744,18838106.1909,74330,3385,848,732,4.06,551,11,170,116,1.86,61,55,107,146,28,0,79,29,10,68,78,625,702,2381,1694,687,1600,94,5.54899645809,1577,718,Est_M_HS_GED,859,Est_F_Bachelors_degree,Total_HS_GED,395,YES,1231,70.25248,40.6669,110.91938,-10.91938,2236216.078125,6746.2832828215705,78.06
108,108,48,479,001717,2,484790017172,Block Group 2,G5030,S,5186637,108661,+27.5619457,-099.5075357,LDO484790017172,1500000US484790017172,484790017172,"Block Group 2, Census Tract 17.17, Webb County, Texas",47581.2041163,56991251.9071,47578.9614316,56183330.692,47581.2041163,56991251.9071,18372,1014,285,205,3.2,87,26,92,80,1.21,55,25,110,132,28,26,56,22,0,42,73,95,153,811,467,344,449,18,3.85438972163,605,378,Est_M_HS_GED,227,Est_F_HS_GED,Total_HS_GED,258,YES,521,44.73028,38.58013,83.31041,16.68959,6763646.28515625,16407.558216690883,86.12
109,109,48,479,001715,2,484790017152,Block Group 2,G5030,S,4851121,124786,+27.5981858,-099.5053871,LDO484790017152,1500000US484790017152,484790017152,"Block Group 2, Census Tract 17.15, Webb County, Texas",36536.2539081,53554559.466,36536.2536628,53554558.9824,36536.2539081,53554559.466,41250,1578,392,350,4.16,272,16,62,42,1.0,0,42,54,54,35,0,19,0,0,10,24,296,338,1032,692,340,662,30,4.33526011561,693,307,Est_M_College_1_or_more_No_Degree,386,Est_F_HS_GED,Total_HS_GED,170,YES,427,47.17653,46.16179,93.33832,6.66168,6359948.38671875,12589.935521829962,61.62
110,110,48,479,001721,2,484790017212,Block Group 2,G5030,S,439847,0,+27.5831589,-099.4776502,LDO484790017212,1500000US484790017212,484790017212,"Block Group 2, Census Tract 17.21, Webb County, Texas",10950.7433841,4733951.31869,10950.7435336,4733951.25539,10950.7433841,4733951.31869,110139,1338,395,342,3.41,284,21,37,53,1.17,26,27,4,4,0,0,4,0,0,0,0,338,391,1143,815,328,800,15,1.84049079755,992,527,Est_M_College_1_or_more_No_Degree,465,Est_F_Bachelors_degree,Total_Some_college_1_or_more_years_no_degree,327,YES,876,70.27224,45.05213,115.32437,-15.32437,562045.60546875,3774.2746309115823,88.31
111,111,48,479,001716,3,484790017163,Block Group 3,G5030,S,816263,65292,+27.5838928,-099.5265375,LDO484790017163,1500000US484790017163,484790017163,"Block Group 3, Census Tract 17.16, Webb County, Texas",12474.534731,9487914.10725,12054.6267876,8771982.95189,12474.534731,9487914.10725,49091,4108,954,857,4.19,640,70,147,97,1.0,0,97,94,173,77,0,17,0,79,17,66,763,781,3126,2134,992,2033,101,4.73289597001,1982,949,Est_M_College_1_or_more_No_Degree,1033,Est_F_HS_GED,Total_HS_GED,607,YES,1308,54.30635,43.57541,97.88176,2.11824,1126478.56640625,4296.7053356125825,65.99
112,112,48,479,001716,2,484790017162,Block Group 2,G5030,S,290152,0,+27.5858440,-099.5188677,LDO484790017162,1500000US484790017162,484790017162,"Block Group 2, Census Tract 17.16, Webb County, Texas",7394.15711176,3122812.11375,7394.15633232,3122811.98224,7394.15711176,3122812.11375,68309,1259,305,287,3.9,245,0,42,18,1.0,0,18,31,49,31,0,0,0,18,0,31,256,256,977,556,421,524,32,5.75539568345,720,315,Est_M_College_less_1_year,405,Est_F_Bachelors_degree,Total_Bachelors_degree,151,YES,485,51.72818,44.54427,96.27245,3.72755,370778.1875,2549.218000662229,67.36
113,113,48,479,001105,2,484790011052,Block Group 2,G5030,S,498183,0,+27.5173304,-099.4598381,LDO484790011052,1500000US484790011052,484790011052,"Block Group 2, Census Tract 11.05, Webb County, Texas",11889.930708,5361657.30809,11889.9313354,5361657.28024,11889.930708,5361657.30809,29074,1636,462,374,3.88,203,34,137,88,1.39,38,50,138,162,50,21,67,20,4,57,122,236,300,1055,645,410,575,70,10.8527131783,919,439,Est_M_HS_GED,480,Est_F_HS_GED,Total_HS_GED,301,YES,569,51.17857,38.49803,89.6766,10.3234,635830.11328125,4095.5458767619602,61.92
114,114,48,479,001105,1,484790011051,Block Group 1,G5030,S,586947,0,+27.5243800,-099.4596995,LDO484790011051,1500000US484790011051,484790011051,"Block Group 1, Census Tract 11.05, Webb County, Texas",14821.0985405,6317005.86354,14821.0995294,6317005.61061,14821.0985405,6317005.86354,52589,1317,286,239,4.54,169,15,55,47,1.6,27,20,80,99,59,0,21,19,0,21,80,159,187,871,518,353,486,32,6.17760617761,455,185,Est_M_HS_GED,270,Est_F_HS_GED,Total_HS_GED,178,YES,351,44.31002,42.14749,86.45751,13.54249,749216.80859375,5106.770077797664,77.14
115,115,48,479,001714,2,484790017142,Block Group 2,G5030,S,5085419,3567646,+27.5407632,-099.4391586,LDO484790017142,1500000US484790017142,484790017142,"Block Group 2, Census Tract 17.14, Webb County, Texas",63745.0744442,93129106.0267,45091.5230906,51916659.3266,63745.0744442,93129106.0267,50640,1331,360,296,3.4,212,8,76,64,1.0,29,35,60,88,60,0,0,22,6,0,45,236,272,1073,472,601,446,26,5.50847457627,1002,447,Est_M_HS_GED,555,Est_F_College_1_or_more_No_Degree,Total_Some_college_1_or_more_years_no_degree,249,YES,725,53.97304,42.07624,96.04928,3.95072,11048737.95703125,21941.865643932186,72.36
116,116,48,479,000101,4,484790001014,Block Group 4,G5030,S,721672,0,+27.4971475,-099.4690586,LDO484790001014,1500000US484790001014,484790001014,"Block Group 4, Census Tract 1.01, Webb County, Texas",18884.2668003,7766933.71109,18884.26695,7766933.36842,18884.2668003,7766933.71109,24000,739,194,133,4.67,119,0,14,61,1.0,15,46,62,102,62,0,0,0,40,0,43,71,92,519,216,303,208,8,3.7037037037,430,194,Est_M_Bachelors_degree,236,Est_F_HS_GED,Total_HS_GED,88,YES,221,41.76575,41.65978,83.42553,16.57447,920739.4921875,6501.764672552698,51.4
117,117,48,479,000105,1,484790001051,Block Group 1,G5030,S,1354310,0,+27.4944305,-099.4603978,LDO484790001051,1500000US484790001051,484790001051,"Block Group 1, Census Tract 1.05, Webb County, Texas",21043.4302449,14575630.1376,21043.4304662,14575630.1899,21043.4302449,14575630.1376,27306,1546,359,303,4.36,192,30,81,56,1.0,31,25,102,143,55,8,39,31,10,30,87,201,216,1035,590,445,560,30,5.08474576271,767,338,Est_M_HS_GED,429,Est_F_HS_GED,Total_HS_GED,163,YES,361,47.41289,40.96553,88.37842,11.62158,1727800.68359375,7235.850776831862,47.07
118,118,48,479,001810,1,484790018101,Block Group 1,G5030,S,34899290,131382,+27.4657581,-099.4019736,LDO484790018101,1500000US484790018101,484790018101,"Block Group 1, Census Tract 18.10, Webb County, Texas",98000.6159539,377011444.397,91283.0052004,93060535.3344,98000.6159539,377011444.397,47208,4038,934,826,4.27,570,37,219,108,1.0,74,34,173,181,93,0,80,0,8,80,164,653,753,2370,1493,877,1485,8,0.535833891494,1847,823,Est_M_College_1_or_more_No_Degree,1024,Est_F_HS_GED,Total_HS_GED,399,YES,1125,67.43247,51.10178,118.53425,-18.53425,44672578.376953125,33691.01274942932,60.91
119,119,48,479,001811,1,484790018111,Block Group 1,G5030,S,454647,0,+27.4915085,-099.4523167,LDO484790018111,1500000US484790018111,484790018111,"Block Group 1, Census Tract 18.11, Webb County, Texas",9489.60315149,4893076.83983,9489.60271582,4893076.78575,9489.60315149,4893076.83983,42880,812,197,166,4.37,101,23,42,31,1.0,31,0,43,43,30,0,13,0,0,13,43,123,154,531,326,205,298,28,8.58895705521,448,199,Est_M_College_1_or_more_No_Degree,249,Est_F_HS_GED,Total_HS_GED,209,YES,366,59.341,46.39516,105.73616,-5.73616,579997.2265625,3265.914153787126,81.7
120,120,48,479,001716,1,484790017161,Block Group 1,G5030,S,448297,0,+27.5878433,-099.5141227,LDO484790017161,1500000US484790017161,484790017161,"Block Group 1, Census Tract 17.16, Webb County, Texas",8828.04622336,4824889.39789,8828.0462117,4824889.12929,8828.04622336,4824889.39789,38796,1188,362,305,3.31,168,27,110,57,1.18,42,15,99,99,43,0,56,0,0,56,85,206,263,822,568,254,517,51,8.97887323944,688,276,Est_M_HS_GED,412,Est_F_Bachelors_degree,Total_HS_GED,163,YES,476,50.6361,38.31077,88.94687,11.05313,572889.75,3042.782162594384,69.19
121,121,48,479,000800,2,484790008002,Block Group 2,G5030,S,343651,0,+27.5105970,-099.4973950,LDO484790008002,1500000US484790008002,484790008002,"Block Group 2, Census Tract 8, Webb County, Texas",9148.58500179,3698490.5651,9148.58460967,3698490.8261,9148.58500179,3698490.5651,21597,1228,271,227,4.42,99,15,113,44,1.25,0,44,131,144,53,0,78,0,13,67,104,96,127,820,415,405,371,44,10.6024096386,596,195,Est_M_5th_and_6th,401,Est_F_HS_GED,Total_HS_GED,135,YES,222,41.60724,36.56094,78.16818,21.83182,438545.81640625,3147.155165785819,37.25
122,122,48,479,001808,2,484790018082,Block Group 2,G5030,S,557011,0,+27.4486999,-099.4721290,LDO484790018082,1500000US484790018082,484790018082,"Block Group 2, Census Tract 18.08, Webb County, Texas",11662.0397219,5994686.56051,11662.0393128,5994686.91307,11662.0397219,5994686.56051,16250,1376,500,347,3.15,213,16,118,153,1.0,109,44,105,232,28,16,61,109,18,61,97,242,268,1040,389,651,333,56,14.3958868895,1102,373,Est_M_11th,729,Est_F_College_1_or_more_No_Degree,Total_7th_and_8th,239,NO,417,49.18744,42.47084,91.65828,8.34172,710038.39453125,4010.4723351950283,37.84
123,123,48,479,001808,1,484790018081,Block Group 1,G5030,S,322742,0,+27.4494313,-099.4655165,LDO484790018081,1500000US484790018081,484790018081,"Block Group 1, Census Tract 18.08, Webb County, Texas",8289.82800979,3473457.34915,8289.82866444,3473457.27061,8289.82800979,3473457.34915,29390,1944,461,453,3.92,229,20,204,8,1.0,0,8,220,220,114,20,86,0,0,62,176,233,241,1400,636,764,604,32,5.03144654088,964,504,Est_M_HS_GED,460,Est_F_5th_and_6th,Total_5th_and_6th,251,NO,351,43.83343,42.01393,85.84736,14.15264,411417.6484375,2852.9410001968868,36.41
124,124,48,479,001806,2,484790018062,Block Group 2,G5030,S,5173077,0,+27.4595032,-099.4604860,LDO484790018062,1500000US484790018062,484790018062,"Block Group 2, Census Tract 18.06, Webb County, Texas",34777.9022834,55674123.8988,33244.2328829,47205622.7467,34777.9022834,55674123.8988,35603,3397,768,687,4.4,427,24,236,81,1.0,51,30,204,229,72,0,132,16,9,132,204,483,539,1798,1016,782,941,75,7.38188976378,1132,487,Est_M_HS_GED,645,Est_F_HS_GED,Total_HS_GED,279,YES,575,50.1809,50.60243,100.78333,-0.78333,6595557.56640625,11963.851169794849,50.8
125,125,48,479,001808,3,484790018083,Block Group 3,G5030,S,661388,0,+27.4480906,-099.4590274,LDO484790018083,1500000US484790018083,484790018083,"Block Group 3, Census Tract 18.08, Webb County, Texas",11960.3306784,7118034.76076,11960.3306745,7118034.65572,11960.3306784,7118034.76076,31944,3327,652,626,4.74,419,12,195,26,1.0,26,0,220,246,97,12,111,26,0,111,208,406,406,2152,1230,922,1183,47,3.82113821138,1271,633,Est_M_HS_GED,638,Est_F_HS_GED,Total_HS_GED,262,YES,573,43.39281,43.71513,87.10794,12.89206,843083.73828125,4113.911599018969,45.08
126,126,48,479,001812,1,484790018121,Block Group 1,G5030,S,2886191,0,+27.4766684,-099.4503153,LDO484790018121,1500000US484790018121,484790018121,"Block Group 1, Census Tract 18.12, Webb County, Texas",38804.5403974,31062198.6763,38801.9671737,30884067.2303,38804.5403974,31062198.6763,55383,6793,1496,1434,4.11,1012,46,376,62,1.56,16,46,245,245,98,0,147,0,0,141,239,1189,1251,4427,2782,1645,2633,149,5.35585909418,3642,1961,Est_M_HS_GED,1681,Est_F_HS_GED,Total_HS_GED,845,YES,2077,55.4293,46.50748,101.93678,-1.93678,3680971.19140625,13360.662005646762,57.03
127,127,48,479,000300,2,484790003002,Block Group 2,G5030,S,436597,0,+27.5061037,-099.4997983,LDO484790003002,1500000US484790003002,484790003002,"Block Group 2, Census Tract 3, Webb County, Texas",8838.19566456,4698866.34683,8838.19466688,4698866.23074,8838.19566456,4698866.34683,11786,2011,564,385,3.94,169,68,148,179,1.07,60,119,223,325,118,18,87,54,48,77,189,162,239,1375,439,936,388,51,11.6173120729,1242,595,Est_M_HS_GED,647,Est_F_HS_GED,Total_HS_GED,369,YES,547,40.93411,36.36483,77.29894,22.70106,557120.3203125,3044.100552137167,44.04
128,128,48,479,001900,3,484790019003,Block Group 3,G5030,S,829974,20695,+27.5046027,-099.5070332,LDO484790019003,1500000US484790019003,484790019003,"Block Group 3, Census Tract 19, Webb County, Texas",12332.4976893,9155266.20772,12233.0818778,8898094.13339,12332.4976893,9155266.20772,9971,488,301,78,3.04,59,0,19,223,1.0,89,134,24,187,5,0,19,29,134,19,24,54,114,442,101,341,91,10,9.90099009901,415,229,Est_M_HS_GED,186,Est_F_Nursery_to_4th,Total_Nursery_to_4th,128,NO,111,29.6705,27.28259,56.95309,43.04691,1085466.68359375,4248.636947541459,26.75
129,129,48,479,000602,1,484790006021,Block Group 1,G5030,S,915218,65349,+27.5241938,-099.5206825,LDO484790006021,1500000US484790006021,484790006021,"Block Group 1, Census Tract 6.02, Webb County, Texas",16554.9179182,10553367.8943,16360.1481386,9953451.107,16554.9179182,10553367.8943,31509,1503,279,248,4.89,151,0,97,31,1.45,31,0,85,97,41,0,44,12,0,37,61,163,182,1043,420,623,396,24,5.71428571429,975,429,Est_M_HS_GED,546,Est_F_HS_GED,Total_HS_GED,340,YES,492,66.54229,40.51123,107.05352,-7.05352,1251656.015625,5706.777568112707,50.46
130,130,48,479,000601,1,484790006011,Block Group 1,G5030,S,337030,0,+27.5213812,-099.5135451,LDO484790006011,1500000US484790006011,484790006011,"Block Group 1, Census Tract 6.01, Webb County, Texas",7697.11253182,3627279.08501,7697.11219286,3627279.17421,7697.11253182,3627279.08501,23500,715,266,133,3.77,60,12,61,133,1.0,63,70,71,124,33,0,38,25,28,38,66,62,142,521,207,314,207,0,0.0,505,201,Est_M_HS_GED,304,Est_F_9th,Total_12th_no_diploma,84,NO,205,43.01072,39.87681,82.88753,17.11247,430183.95703125,2649.726708330808,40.59
131,131,48,479,000904,1,484790009041,Block Group 1,G5030,S,186532,0,+27.5209109,-099.4896535,LDO484790009041,1500000US484790009041,484790009041,"Block Group 1, Census Tract 9.04, Webb County, Texas",6023.6239973,2007558.17118,6023.62399049,2007558.08268,6023.6239973,2007558.17118,27426,678,196,138,3.84,89,4,45,58,1.31,39,19,47,73,47,0,0,16,10,0,39,91,123,522,324,198,316,8,2.46913580247,426,242,Est_M_HS_GED,184,Est_F_HS_GED,Total_HS_GED,158,YES,285,45.03824,35.88616,80.9244,19.0756,238088.1484375,2072.566584301354,66.9
132,132,48,479,000904,3,484790009043,Block Group 3,G5030,S,260715,0,+27.5176315,-099.4896679,LDO484790009043,1500000US484790009043,484790009043,"Block Group 3, Census Tract 9.04, Webb County, Texas",6829.40223327,2805935.97842,6829.40323358,2805936.42641,6829.40223327,2805935.97842,20469,1343,364,304,3.77,206,11,87,60,1.0,5,55,130,160,67,5,58,0,30,46,118,174,204,990,454,536,448,6,1.32158590308,792,410,Est_M_HS_GED,382,Est_F_HS_GED,Total_HS_GED,299,YES,499,67.56585,35.22399,102.78984,-2.78984,332753.1640625,2350.6533544926433,63.01
133,133,48,479,001502,1,484790015021,Block Group 1,G5030,S,164437,0,+27.5323916,-099.4916716,LDO484790015021,1500000US484790015021,484790015021,"Block Group 1, Census Tract 15.02, Webb County, Texas",5321.01050369,1769757.74183,5321.01050123,1769757.89046,5321.01050369,1769757.74183,26875,730,191,177,3.63,86,27,64,14,1.0,7,7,77,84,25,21,31,0,7,31,77,100,107,495,200,295,176,24,12.0,471,222,Est_M_HS_GED,249,Est_F_5th_and_6th,Total_HS_GED,125,YES,195,45.73999,35.10012,80.84011,19.15989,209928.5703125,1832.6140829024382,41.4
134,134,48,479,001502,3,484790015023,Block Group 3,G5030,S,301900,0,+27.5364578,-099.4907294,LDO484790015023,1500000US484790015023,484790015023,"Block Group 3, Census Tract 15.02, Webb County, Texas",7259.58385121,3249225.60717,7259.58421015,3249225.72752,7259.58385121,3249225.60717,27279,1153,414,268,3.3,172,48,48,146,1.0,70,76,68,148,50,11,7,46,34,7,37,200,266,943,402,541,393,9,2.23880597015,752,351,Est_M_HS_GED,401,Est_F_Bachelors_degree,Total_HS_GED,164,YES,458,48.83127,34.63954,83.47081,16.52919,385450.14453125,2499.8494325740594,60.9
135,135,48,479,001103,1,484790011031,Block Group 1,G5030,S,192266,0,+27.5183700,-099.4655961,LDO484790011031,1500000US484790011031,484790011031,"Block Group 1, Census Tract 11.03, Webb County, Texas",6090.46132727,2069270.90516,6090.4619719,2069270.99398,6090.46132727,2069270.90516,22500,666,240,161,3.27,76,6,79,79,1.08,46,33,48,83,31,6,11,23,12,11,35,113,157,496,270,226,266,4,1.48148148148,458,200,Est_M_HS_GED,258,Est_F_Bachelors_degree,Total_HS_GED,101,YES,297,39.73794,34.81668,74.55462,25.44538,245395.99609375,2096.8431902359694,64.85
136,137,48,479,001815,1,484790018151,Block Group 1,G5030,S,826539046,1650379,+27.5911734,-098.9185435,LDO484790018151,1500000US484790018151,484790018151,"Block Group 1, Census Tract 18.15, Webb County, Texas",423654.465022,8913609535.06,0.0,0.0,423654.465022,8913609535.06,44028,625,219,165,3.08,90,16,59,54,1.0,19,35,55,86,9,6,40,0,31,19,25,110,133,511,221,290,212,9,4.07239819005,436,232,Est_M_HS_GED,204,Est_F_HS_GED,Total_HS_GED,153,YES,326,0.0,0.0,0.0,100.0,1058433762.421875,146070.10518885616,74.77
137,138,48,479,001815,2,484790018152,Block Group 2,G5030,S,497732065,4101522,+27.5619172,-099.1940672,LDO484790018152,1500000US484790018152,484790018152,"Block Group 2, Census Tract 18.15, Webb County, Texas",343056.566421,5400627876.53,0.0,0.0,343056.566421,5400627876.53,28021,858,207,192,3.94,134,12,46,15,1.0,0,15,73,88,23,12,38,0,15,38,73,119,119,505,319,186,291,28,8.77742946708,393,183,Est_M_College_1_or_more_No_Degree,210,Est_F_HS_GED,Total_HS_GED,103,YES,169,43.47207,49.90783,93.3799,6.6201,640902581.9433594,118136.19777247109,43.0
138,139,48,479,001817,1,484790018171,Block Group 1,G5030,S,1547281,21357,+27.3610015,-099.4912961,LDO484790018171,1500000US484790018171,484790018171,"Block Group 1, Census Tract 18.17, Webb County, Texas",24484.6117165,16881707.0144,0.0,0.0,24484.6117165,16881707.0144,26488,1468,345,327,3.99,217,0,110,18,1.67,12,6,113,125,62,0,51,6,6,44,99,214,220,957,526,431,438,88,16.7300380228,778,336,Est_M_HS_GED,442,Est_F_5th_and_6th,Total_HS_GED,225,YES,374,40.18006,51.78541,91.96547,8.03453,1996489.326171875,8409.576335105863,48.07
139,140,48,479,001817,3,484790018173,Block Group 3,G5030,S,596599,22016,+27.3646303,-099.4919100,LDO484790018173,1500000US484790018173,484790018173,"Block Group 3, Census Tract 18.17, Webb County, Texas",20293.2372866,6657519.76717,0.0,0.0,20293.2372866,6657519.76717,29310,2492,552,452,4.5,351,0,101,100,1.56,46,54,191,256,135,0,56,14,51,56,163,261,296,1609,750,859,687,63,8.4,1175,605,Est_M_9th,570,Est_F_5th_and_6th,Total_9th,218,NO,430,41.02983,51.95253,92.98236,7.01764,787356.623046875,6964.8544539964105,36.6
140,141,48,479,001818,1,484790018181,Block Group 1,G5030,S,58184928,2081342,+27.2988412,-099.4752678,LDO484790018181,1500000US484790018181,484790018181,"Block Group 1, Census Tract 18.18, Webb County, Texas",119333.912723,648580096.776,0.0,0.0,119333.912723,648580096.776,21307,3282,702,600,4.56,282,40,278,102,1.15,45,57,318,376,115,18,185,20,38,158,260,282,326,2029,1024,1005,916,108,10.546875,1473,666,Est_M_HS_GED,807,Est_F_HS_GED,Total_HS_GED,281,YES,549,37.81791,54.38957,92.20748,7.79252,76628100.8515625,41013.619560610045,37.27
